filename,shot_number,media_type,day,duration_sec,start_time,end_time,ai_score,location_human,action_human,key_tags,story_description,llm_summary,notes_human,language,enriched_by,enriched_on,status,camera_movement,shot_type,lighting,audio_notes,emotion_to_highlight,detailed_enrichment,tech_meta,shot_datetime_local,duration_sec_rounded,auto_summary,enrichment_input_raw,trip_id,day_id,clip_id,gcs_uri,place_city,place_country,time_of_day,day_segment,crowd_level,people,mood,shot_by
IMG_9912.MOV,,video,day-06,16.6,0s,16.600s,0.48243082,"sunset town, Phu Quoc",Divya jumps and runs with her hands expanded on the road,"Divya, road, European architecture, clock tower, electric buggy, coconut trees, sunny, gimbal","Divya is joyfully jumping and running on a road in Sunset Town, Phu Quoc. The scene features European-style architecture and a clock tower. A red electric buggy and coconut trees are visible, with a sunny and pleasant atmosphere.","Divya runs and jumps on a road in Sunset Town, Phu Quoc, with European architecture in the background.","This clip is shot by a weapon through an iPhone mounted on a gimbal.

The clip starts where Divya is jumping on the road and running with her hands expanded in the air, with her curly hair swinging in the air. She ran down the road, and on the other side, we can see many European-styled architecture buildings with a clock tower peeking in.

The camera is following Divya while she jumps around, moves around, swirls around on the road, vibing in with the place. Also, there is one traditional electric buggy (red-coloured buggy) standing there and some coconut trees. The weather is sunny, bit humid but pleasant. Divya is wearing a white dress. It's sunset town, phu quoc.",,Vipin,2025-08-13 12:06:49,enriched,gimbal,tracking,daylight,ambience of the street,joy,"The clip captures Divya energetically jumping and running on a road in Sunset Town, Phu Quoc. The camera, mounted on a gimbal, follows her as she moves with her hands expanded. The background features European-style buildings and a clock tower. A red electric buggy and coconut trees add to the vibrant scene, set in sunny and pleasant weather.","{""file_size_bytes"": 53454347, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 16.6333333333333, ""creation_time"": ""2025:08:01 06:21:37"", ""encoder"": ""17.6.1""}",2025-08-01 06:21:37,17,"Shot on 01 Aug 2025, 06:21 AM • 16.60s • faces: 0
Tags: road, urban area. Objects: person, dress. OCR: “TLLL U VISTERS Blue OYSTERS 33 www MNNS”","This clip is shot by a weapon through an iPhone mounted on a gimbal.

The clip starts where Divya is jumping on the road and running with her hands expanded in the air, with her curly hair swinging in the air. She ran down the road, and on the other side, we can see many European-styled architecture buildings with a clock tower peeking in.

The camera is following Divya while she jumps around, moves around, swirls around on the road, vibing in with the place. Also, there is one traditional electric buggy (red-coloured buggy) standing there and some coconut trees. The weather is sunny, bit humid but pleasant. Divya is wearing a white dress. It's sunset town, phu quoc.",Vietnam_01,D06,Vietnam_01_D06_0038,,phu quoc,vietnam,,,low,Divya,,
IMG_9913.MOV,,video,day-06,13.366666,0s,13.366666s,0.73477554,"Sunset Town, Phu Quoc",Divya runs and swirls around the road,"sunset town, phu quoc, gimbal, european architecture, clock tower, electric buggy, coconut trees, sunny","Divya runs and swirls around a road in Sunset Town, Phu Quoc. The camera follows her as she enjoys the sunny weather, with European-styled buildings and a clock tower in the background.","Divya joyfully runs and swirls around Sunset Town, Phu Quoc, with European architecture in the background.","This clip is shot by Vipin through an iPhone mounted on a gimbal.

The clip starts from a close-up shot of a tree and leaves, the camera moves from right to left to reveal Divya running with her hands expanded in the air, with her curly hair swinging in the air. She ran down the road, and on the other side, we can see many European-styled architecture buildings with a clock tower peeking in.

The camera is following Divya while she jumps around, moves around, swirls around on the road, vibing in with the place. Also, there is one traditional electric buggy (white-coloured buggy) standing there and some coconut trees. The weather is sunny, bit humid but pleasant. Divya is wearing a white dress. It's sunset town, phu quoc.",,Vipin,2025-08-13 12:08:14,enriched,pan,close,daylight,ambient sounds of the town,joy,"The clip, shot by Vipin using an iPhone on a gimbal, starts with a close-up of a tree and leaves. The camera pans to reveal Divya running with her hands in the air, her curly hair swinging. She moves joyfully down the road, surrounded by European-styled buildings and a clock tower. A white electric buggy and coconut trees are visible. The weather is sunny and pleasant.","{""file_size_bytes"": 42558422, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 13.4, ""creation_time"": ""2025:08:01 06:22:35"", ""encoder"": ""17.6.1""}",2025-08-01 06:22:35,13,"Shot on 01 Aug 2025, 06:22 AM • 13.37s • faces: 0
Tags: town, public space. Objects: packaged goods, person. OCR: “NCU HANZ SUNS HANZ SUNSET SPA TTNT HASZ …”","This clip is shot by Vipin through an iPhone mounted on a gimbal.

The clip starts from a close-up shot of a tree and leaves, the camera moves from right to left to reveal Divya running with her hands expanded in the air, with her curly hair swinging in the air. She ran down the road, and on the other side, we can see many European-styled architecture buildings with a clock tower peeking in.

The camera is following Divya while she jumps around, moves around, swirls around on the road, vibing in with the place. Also, there is one traditional electric buggy (white-coloured buggy) standing there and some coconut trees. The weather is sunny, bit humid but pleasant. Divya is wearing a white dress. It's sunset town, phu quoc.",Vietnam_01,D06,Vietnam_01_D06_0039,,phu quoc,vietnam,,,low,Divya,,Vipin
IMG_9940.MOV,,video,day-06,23.333333,0s,23.333333s,0.43483645,"Casepia cafeteria, sunset town, Phu Quoc",camera pans from an iron pole to reveal a cafeteria and cable cars,"cafeteria, cable car, sunset, palm trees, Phu Quoc, tourism, golden hour","The clip begins with a close-up of an iron pole. As the camera pans, it reveals the sunlit Casepia cafeteria with tables and chairs for tourists. The scene transitions to a view of cable cars and coconut trees against a sunset sky.",A camera pans from an iron pole to a sunlit cafeteria and cable cars in Phu Quoc.,"This clip starts from a close-up shot of an iron pole. Camera moving from left to right reveals a cafeteria named Casepia, and it seems to be sun-kissed as it is the olden hour and sunlight is reflecting on the yellow building. There are some tables and chairs for the tourists to sit and eat.

On one of the chairs, there are some flowers in the scene. Then, the camera moves towards the right, and we can see a huge pillar holding cables for the cable car, and some cable cars are coming. The camera moves towards the right, showcasing coconut trees and blue skies and Sun which is about to set. It's sunset town, phu quoc.",,Vipin,2025-08-13 12:11:07,enriched,pan,close,golden_hour,ambient sounds of a cafeteria and cable cars,serenity,"The video starts with a close-up of an iron pole, then pans to reveal the Casepia cafeteria, bathed in golden hour sunlight. Tables and chairs are set up for tourists, with flowers visible on one chair. The camera continues to pan, showing a large pillar supporting cable cars, and ends with a view of coconut trees and a sunset sky in Phu Quoc.","{""file_size_bytes"": 74068289, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 23.3666666666667, ""creation_time"": ""2025:08:01 06:24:40"", ""encoder"": ""17.6.1""}",2025-08-01 06:24:40,23,"Shot on 01 Aug 2025, 06:24 AM • 23.33s • faces: 0
Tags: tourism, palm tree. Objects: curtain, table top. OCR: “ООО JETOH EPR 0 PR APIRO Al 0 0 0 0 0 0 …”","This clip starts from a close-up shot of an iron pole. Camera moving from left to right reveals a cafeteria named Casepia, and it seems to be sun-kissed as it is the olden hour and sunlight is reflecting on the yellow building. There are some tables and chairs for the tourists to sit and eat.

On one of the chairs, there are some flowers in the scene. Then, the camera moves towards the right, and we can see a huge pillar holding cables for the cable car, and some cable cars are coming. The camera moves towards the right, showcasing coconut trees and blue skies and Sun which is about to set. It's sunset town, phu quoc.",Vietnam_01,D06,Vietnam_01_D06_0040,,phu quoc,vietnam,,golden_hour,low,tourists,,
IMG_9996.MOV,,video,day-06,19.033333,0s,19.033333s,0.57364064,"sunset town, Phu Quoc",Vipin walks with a backpack on a pavement,"Vipin, Divya, pavement, European architecture, coconut trees, cable car, Phu Quoc","Vipin walks on a pavement in sunset town, Phu Quoc, with Divya filming. The area features pastel-coloured European-style buildings and coconut trees. A cable car passes overhead.","Vipin walks in sunset town, Phu Quoc, with Divya filming.","This clip is shot by Divya in which Vipin is walking ahead with a black backpack. He is wearing a maroon t-shirt, black cap, white shorts, and black watch. She is walking in front of him on a pavement. On his right side are pastel-coloured buildings styled in European architecture. Then in front of him comes a signage pole and some coconut trees and pink flowers on the right side building and cable car coming from upside through cables. It's sunset town, phu quoc.",,Vipin,2025-08-13 12:12:48,enriched,,,,,calm,"In sunset town, Phu Quoc, Vipin is seen walking on a pavement with a black backpack. Divya is filming him. The scene includes pastel-coloured European-style buildings, coconut trees, and a cable car overhead. The atmosphere is calm and serene.","{""file_size_bytes"": 60278757, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 19.065, ""creation_time"": ""2025:08:01 06:26:24"", ""encoder"": ""17.6.1""}",2025-08-01 06:26:24,19,"Shot on 01 Aug 2025, 06:26 AM • 19.03s • faces: 0
Tags: tree, street. Objects: person, luggage & bags. OCR: “094.8 M 2 222 ZONE 034.816. STREET TO 3 …”","This clip is shot by Divya in which Vipin is walking ahead with a black backpack. He is wearing a maroon t-shirt, black cap, white shorts, and black watch. She is walking in front of him on a pavement. On his right side are pastel-coloured buildings styled in European architecture. Then in front of him comes a signage pole and some coconut trees and pink flowers on the right side building and cable car coming from upside through cables. It's sunset town, phu quoc.",Vietnam_01,D06,Vietnam_01_D06_0041,,phu quoc,vietnam,,,low,Vipin; Divya,calm,Divya
IMG_9998.MOV,,video,day-06,7.6,0s,7.600s,0.95606655,"Phu Quoc, parking area",Vipin takes out the scooter and stops to take Divya along,"scooter, parking, coconut trees, bus, tourists, sunset, Phu Quoc","Vipin retrieves a scooter from the parking area in Phu Quoc as the sun sets. He stops to pick up Divya, with coconut trees and a bus waiting for tourists in the background.",Vipin takes out a scooter and picks up Divya at sunset in Phu Quoc.,"In this clip, Vipin takes out the scooter from the parking and comes towards the camera, stopping to take Divya along. In the scene, we can see many coconut trees and a bus waiting for tourists. The sun is about to set. These guys have turned multi-coloured. 

Vipin is wearing:
- maroon t-shirt
- White shorts
- Black cap
- Maroon goggles
- Black watch
The sun is about to set. It's sunset town, phu quoc.",,Vipin,2025-08-13 12:14:58,enriched,,medium,golden_hour,"ambient sounds of a parking area, possibly some distant chatter",relaxation,"In Phu Quoc, Vipin takes out a scooter from the parking area as the sun sets. He is wearing a maroon t-shirt, white shorts, a black cap, maroon goggles, and a black watch. Coconut trees and a bus waiting for tourists are visible in the background. Vipin stops to take Divya along, creating a relaxed atmosphere.","{""file_size_bytes"": 24220891, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 7.63333333333333, ""creation_time"": ""2025:08:01 06:27:41"", ""encoder"": ""17.6.1""}",2025-08-01 06:27:41,8,"Shot on 01 Aug 2025, 06:27 AM • 7.60s • faces: 0
Tags: motorcycle, motor vehicle. Objects: building, person. OCR: “HOND AUSH NO ENTRY CAM DI SAPPORO”","In this clip, Vipin takes out the scooter from the parking and comes towards the camera, stopping to take Divya along. In the scene, we can see many coconut trees and a bus waiting for tourists. The sun is about to set. These guys have turned multi-coloured. 

Vipin is wearing:
- maroon t-shirt
- White shorts
- Black cap
- Maroon goggles
- Black watch
The sun is about to set. It's sunset town, phu quoc.",Vietnam_01,D06,Vietnam_01_D06_0042,,phu quoc,vietnam,,golden_hour,low,Vipin; Divya,,
IMG_9999.MOV,,video,day-06,11.033333,0s,11.033333s,0.48740846,"Sunset Town, Phu Quoc, near Hon Thom station street",Divya walks slowly towards the deck,"sunset, pavement, Phu Quoc, Hon Thom station, beach, Divya, white dress","Divya is walking slowly on the pavement near Hon Thom station street in Sunset Town, Phu Quoc. She is heading towards the deck to watch the sunset on the beach.","Divya walks towards the deck in Sunset Town, Phu Quoc to see the sunset.","In this clip, Divya is walking ahead slowly on the pavement. This is the scene near the hon thom station street in Sunset Town in Phu Quoc where Divya is moving towards the deck to see the sunset on the beach 

Divya is wearing a white dress with her curly hair open and black goggles
The sun is about to set. It's sunset town, phu quoc.",,Vipin,2025-08-13 12:17:19,enriched,,,golden_hour,,anticipation,"In this clip, Divya is seen walking slowly on the pavement near Hon Thom station street in Sunset Town, Phu Quoc. She is wearing a white dress, her curly hair is open, and she has black goggles on. The scene captures her moving towards the deck to enjoy the sunset on the beach.","{""file_size_bytes"": 35436111, ""dimensions"": ""2160 3840"", ""video_codec"": ""H.264"", ""audio_codec"": ""mp4a"", ""audio_channels"": 2, ""duration_sec"": 11.065, ""creation_time"": ""2025:08:01 06:29:20"", ""encoder"": ""17.6.1""}",2025-08-01 06:29:20,11,"Shot on 01 Aug 2025, 06:29 AM • 11.03s • faces: 0
Tags: tree, public space. Objects: person, person. OCR: “ICICII TEEEI | ICIP”","In this clip, Divya is walking ahead slowly on the pavement. This is the scene near the hon thom station street in Sunset Town in Phu Quoc where Divya is moving towards the deck to see the sunset on the beach 

Divya is wearing a white dress with her curly hair open and black goggles
The sun is about to set. It's sunset town, phu quoc.",Vietnam_01,D06,Vietnam_01_D06_0043,,phu quoc,vietnam,,golden_hour,low,Divya,calm,
DJI_20250404_154920_482.jpg,,photo,day-06,,,,0.89333653,"Sunset Town, Phu Quoc, Vietnam",Divya smiles and poses facing the camera,"Divya, Sunset Town, Phu Quoc, European architecture, pastel buildings, gimbal, sunny weather","Divya is on the street of Sunset Town, Phu Quoc, Vietnam, smiling and posing for the camera. Behind her are colorful pastel buildings in European style architecture and trees lining the road. The weather is sunny with clear blue skies.","Divya poses on a street in Sunset Town, Phu Quoc with pastel buildings in the background.","In the frame is Divya on the street of Sunset Town. she's smiling and posing facing the camera. Behind her some colourful pastel buildings in European style architecture and nice trees across the road. 
It's a photo shot on iPhone mounted on a gimbal. It's in sunset town, Phu Quoc, Vietnam. The weather is sunny, clear blue skies, a bit humid but pleasant.

Divya is wearing a white dress with her curly hair open and black goggles",und,Vipin,2025-08-13 12:21:48,enriched,gimbal,medium,daylight,,joy,"In Sunset Town, Phu Quoc, Vietnam, Divya is seen smiling and posing for the camera. She is wearing a white dress with her curly hair open and black goggles. The background features colorful pastel buildings in European style and trees across the road. The photo is shot on an iPhone mounted on a gimbal under sunny, clear blue skies.","{""file_size_bytes"": 6061862, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 15:49:21"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 15:49:21,,"Shot on 04 Apr 2025, 03:49 PM • {'red': 209.0, 'green': 193.0, 'blue': 161.0} • faces: 1
Tags: Urban design, Apartment. Objects: Window, Dress. OCR: “THALA
E THALA E”","In the frame is Divya on the street of Sunset Town. she's smiling and posing facing the camera. Behind her some colourful pastel buildings in European style architecture and nice trees across the road. 
It's a photo shot on iPhone mounted on a gimbal. It's in sunset town, Phu Quoc, Vietnam. The weather is sunny, clear blue skies, a bit humid but pleasant.

Divya is wearing a white dress with her curly hair open and black goggles",Vietnam_01,D06,Vietnam_01_D06_0044,,phu quoc,vietnam,,,low,Divya,,
IMG_0011.JPG,,photo,day-06,,,,0.9814084,"sunset town, Phu Quoc, Vietnam",static shot of a clock tower and walkway,"clock tower, walkway, sunset, Phu Quoc, Vietnam, gimbal, static shot","A stable shot captures a clock tower and a walkway path in sunset town, Phu Quoc, Vietnam. The scene is set during sunset with clear blue skies, creating a pleasant atmosphere.",A static shot of a clock tower and walkway in Phu Quoc during sunset.,"It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.",,Vipin,2025-08-13 12:23:06,enriched,static,wide,golden_hour,,serenity,"The image features a clock tower and a walkway path in sunset town, Phu Quoc, Vietnam. Captured on an iPhone mounted on a gimbal, the shot is very stable. The scene takes place during sunset with clear blue skies, and the weather is humid but pleasant.","{""file_size_bytes"": 3868767, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 18:00:29"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 18:00:29,,"Shot on 04 Apr 2025, 06:00 PM • {'red': 115.0, 'green': 68.0, 'blue': 57.0} • faces: 0
Tags: Daytime, Clock tower.","It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.",Vietnam_01,D06,Vietnam_01_D06_0045,,phu quoc,vietnam,,golden_hour,low,,,
IMG_0019.JPG,,photo,day-06,,,,0.85511106,"Sunset Town, Phu Quoc, Vietnam",Vipin and Divya jump and pose in front of the camera,"clock tower, walkway, gimbal, sunset, Phu Quoc, jumping, posing, clear skies","Vipin and Divya are captured jumping and posing playfully in front of a clock tower in Sunset Town, Phu Quoc. The photo is taken during sunset with clear blue skies, creating a pleasant atmosphere.",Vipin and Divya jump and pose in front of a clock tower at sunset in Phu Quoc.,"Vipin and Divya are both jumping in the frame facing the camera. They are both smiling, and Divya is in a very funny pose

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Vipin is wearing:
- maroon t-shirt
- White shorts
- Black cap
- Maroon goggles
- Black watch
Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",,Vipin,2025-08-13 12:24:16,enriched,static,wide,golden_hour,,joy,"In Sunset Town, Phu Quoc, Vipin and Divya are seen jumping and posing in front of a clock tower. The photo, taken with an iPhone mounted on a gimbal, captures them smiling and enjoying the moment. The weather is clear with blue skies, and the scene is set during sunset, adding a warm glow to the image.","{""file_size_bytes"": 3569224, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 18:01:09"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 18:01:09,,"Shot on 04 Apr 2025, 06:01 PM • {'red': 177.0, 'green': 208.0, 'blue': 241.0} • faces: 1
Tags: Tower, Leisure. Objects: Top, Shorts.","Vipin and Divya are both jumping in the frame facing the camera. They are both smiling, and Divya is in a very funny pose

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Vipin is wearing:
- maroon t-shirt
- White shorts
- Black cap
- Maroon goggles
- Black watch
Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",Vietnam_01,D06,Vietnam_01_D06_0046,,phu quoc,vietnam,,golden_hour,low,Vipin; Divya,playful,
IMG_0024.JPG,,photo,day-06,,,,0.8788773,"sunset town, Phu Quoc, Vietnam",Divya poses and smiles at the camera,"Divya, clock tower, walkway, sunset, Phu Quoc, Vietnam, gimbal, static shot","Divya stands in front of a clock tower, posing and smiling for the camera. The scene is set in sunset town, Phu Quoc, Vietnam, with clear blue skies and a pleasant atmosphere.","Divya poses in front of a clock tower in Phu Quoc, Vietnam during sunset.","Divya is standing posing and smiling facing the camera.

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",,Vipin,2025-08-13 12:25:34,enriched,static,wide,golden_hour,,joy,"Divya is posing and smiling at the camera in front of a clock tower in sunset town, Phu Quoc, Vietnam. The photo is taken with an iPhone mounted on a gimbal, ensuring a stable and static shot. The weather is clear with blue skies, and it's sunset time, creating a pleasant ambiance. Divya is dressed in a brown top and black skirt, with her curly hair open, wearing black goggles and a black cap.","{""file_size_bytes"": 3574198, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 18:01:31"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 18:01:31,,"Shot on 04 Apr 2025, 06:01 PM • {'red': 176.0, 'green': 207.0, 'blue': 239.0} • faces: 1
Tags: Tower, Leisure. Objects: Person, Person.","Divya is standing posing and smiling facing the camera.

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",Vietnam_01,D06,Vietnam_01_D06_0047,,phu quoc,vietnam,,golden_hour,low,Divya,,
IMG_0031.JPG,,photo,day-06,,,,0.8657732,"sunset town, Phu Quoc, Vietnam",Divya poses and smiles with both hands in the air,"Divya, clock tower, walkway, sunset, Phu Quoc, gimbal, static shot","Divya is posing and smiling with both hands in the air in front of a clock tower. The shot captures a clear blue sky at sunset in Phu Quoc, Vietnam.",Divya poses in front of a clock tower during sunset in Phu Quoc.,"Divya is standing posing and smiling with her both hands in the air facing the camera.

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",,Vipin,2025-08-13 12:27:26,enriched,static,,golden_hour,,joy,"In sunset town, Phu Quoc, Vietnam, Divya stands in front of a clock tower, posing with both hands raised and smiling at the camera. The shot is static and stable, taken with an iPhone mounted on a gimbal. The weather is clear with blue skies at sunset, creating a pleasant atmosphere.","{""file_size_bytes"": 3653465, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 18:01:45"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 18:01:45,,"Shot on 04 Apr 2025, 06:01 PM • {'red': 174.0, 'green': 204.0, 'blue': 235.0} • faces: 1
Tags: Tower, Leisure. Objects: Person, Person.","Divya is standing posing and smiling with her both hands in the air facing the camera.

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",Vietnam_01,D06,Vietnam_01_D06_0048,,phu quoc,vietnam,,golden_hour,low,Divya,,
IMG_0036.JPG,,photo,day-06,,,,0.90849704,"Sunset Town, Phu Quoc, Vietnam",Divya poses and smiles with hands in the air,"Divya, posing, smiling, clock tower, walkway, sunset, gimbal, iPhone","Divya is posing and smiling with her hands in the air and one leg lifted, facing the camera. The scene is set in Sunset Town, Phu Quoc, Vietnam, with a clock tower and walkway visible.","Divya poses joyfully in front of a clock tower in Sunset Town, Phu Quoc.","Divya is standing posing and smiling with her both hands in the air elbow bent and one leg liftup facing the camera. she is enjoying and lauging

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",,Vipin,2025-08-13 12:28:31,enriched,static,medium,golden_hour,,joy,"Divya stands posing and smiling with her hands in the air and one leg lifted, facing the camera. She is wearing a brown top, black skirt, black goggles, and a black cap. The shot captures a clock tower and walkway in Sunset Town, Phu Quoc, Vietnam, during sunset with clear blue skies. The photo is taken with an iPhone mounted on a gimbal, ensuring a stable shot.","{""file_size_bytes"": 3584760, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 18:01:51"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 18:01:51,,"Shot on 04 Apr 2025, 06:01 PM • {'red': 174.0, 'green': 205.0, 'blue': 238.0} • faces: 1
Tags: Smile, Leisure. Objects: Top, Person.","Divya is standing posing and smiling with her both hands in the air elbow bent and one leg liftup facing the camera. she is enjoying and lauging

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",Vietnam_01,D06,Vietnam_01_D06_0049,,phu quoc,vietnam,,golden_hour,low,Divya,,
IMG_0037.JPG,,photo,day-06,,,,0.8497397,"Sunset Town, Phu Quoc, Vietnam",Divya poses and smiles with hands in the air,"Divya, posing, clock tower, walkway, gimbal, iPhone, sunset, Phu Quoc","Divya is posing joyfully in front of a clock tower in Sunset Town, Phu Quoc, Vietnam. She is smiling with her hands in the air, enjoying the pleasant sunset weather.","Divya poses happily in front of a clock tower at sunset in Phu Quoc, Vietnam.","Divya is standing posing and smiling with her both hands in the air and one leg liftup facing the camera. she is enjoying and lauging

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",,Vipin,2025-08-13 12:29:50,enriched,static,medium,golden_hour,,joy,"Divya is standing in front of a clock tower in Sunset Town, Phu Quoc, Vietnam, posing with a smile and her hands raised. The scene captures the clear blue skies during sunset, creating a pleasant and joyful atmosphere. She is wearing a brown top, black skirt, and accessories like black goggles and a cap. The shot is taken on an iPhone mounted on a gimbal, ensuring stability.","{""file_size_bytes"": 3393199, ""dimensions"": ""4032 3024"", ""creation_time"": ""2025:04:04 18:01:52"", ""color_profile"": ""Display P3"", ""encoder"": ""17.6.1""}",2025-04-04 18:01:52,,"Shot on 04 Apr 2025, 06:01 PM • {'red': 176.0, 'green': 207.0, 'blue': 240.0} • faces: 0
Tags: Leisure, Recreation. Objects: Person, Top.","Divya is standing posing and smiling with her both hands in the air and one leg liftup facing the camera. she is enjoying and lauging

It's a photo shot on iPhone mounted on a gimbal. It's a static shot where in the frame there is a clock tower in front and a walkway path. It's a very stable shot. It's in sunset town, Phu Quoc, Vietnam. The weather is clear blue skies, sunset time, a bit humid but pleasant.

Divya is wearing a brown top and black skirt with her curly hair open and black goggles, black cap",Vietnam_01,D06,Vietnam_01_D06_0050,,phu quoc,vietnam,,golden_hour,low,Divya,,
